scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
iTst_1000_1e3,1,5000,500,1000,189,0.0,1.0,-1.0,-0.0244,-0.0175
iTst_100_1e3,1,5000,500,1000,150,0.0,2.0,-1.0,-0.0741,-0.0465
iTst_101_1e3,1,5000,500,1000,131,1.0,0.0,1.0,0.0323,0.0244
iTst_10_1e3,1,5000,500,1000,144,0.0,0.0,nan,0.0,0.0
iTst_102_1e3,1,5000,500,1000,162,2.0,7.0,-0.5556,-0.1724,-0.1136
iTst_103_1e3,1,5000,500,1000,163,0.0,2.0,-1.0,-0.0625,-0.0408
iTst_104_1e3,1,5000,500,1000,133,0.0,0.0,nan,0.0,0.0
iTst_105_1e3,1,5000,500,1000,146,2.0,1.0,0.3333,0.0303,0.0185
iTst_106_1e3,1,5000,500,1000,166,2.0,0.0,1.0,0.0741,0.0541
iTst_107_1e3,1,5000,500,1000,130,0.0,22.0,-1.0,-0.7097,-0.3607
iTst_108_1e3,1,5000,500,1000,147,0.0,0.0,nan,0.0,0.0
iTst_109_1e3,1,5000,500,1000,149,1.0,0.0,1.0,0.05,0.0357
iTst_110_1e3,1,5000,500,1000,133,0.0,0.0,nan,0.0,0.0
iTst_111_1e3,1,5000,500,1000,129,1.0,0.0,1.0,0.0435,0.0323
iTst_11_1e3,1,5000,500,1000,142,0.0,17.0,-1.0,-0.9444,-0.3778
iTst_112_1e3,1,5000,500,1000,158,0.0,6.0,-1.0,-0.2,-0.1333
iTst_113_1e3,1,5000,500,1000,165,0.0,0.0,nan,0.0,0.0
iTst_114_1e3,1,5000,500,1000,125,0.0,12.0,-1.0,-0.6667,-0.3636
iTst_115_1e3,1,5000,500,1000,135,0.0,0.0,nan,0.0,0.0
iTst_116_1e3,1,5000,500,1000,189,0.0,0.0,nan,0.0,0.0
iTst_117_1e3,1,5000,500,1000,125,0.0,0.0,nan,0.0,0.0
iTst_118_1e3,1,5000,500,1000,115,0.0,7.0,-1.0,-0.3182,-0.2059
iTst_119_1e3,1,5000,500,1000,154,1.0,0.0,1.0,0.0345,0.0256
iTst_1_1e3,1,5000,500,1000,146,0.0,0.0,nan,0.0,0.0
iTst_120_1e3,1,5000,500,1000,166,0.0,6.0,-1.0,-0.1333,-0.0909
iTst_121_1e3,1,5000,500,1000,156,0.0,0.0,nan,0.0,0.0
iTst_12_1e3,1,5000,500,1000,152,0.0,1.0,-1.0,-0.0238,-0.02
iTst_122_1e3,1,5000,500,1000,150,0.0,2.0,-1.0,-0.0588,-0.04
iTst_123_1e3,1,5000,500,1000,150,1.0,1.0,0.0,0.0,0.0
iTst_124_1e3,1,5000,500,1000,161,0.0,28.0,-1.0,-0.7568,-0.4058
iTst_125_1e3,1,5000,500,1000,146,0.0,0.0,nan,0.0,0.0
iTst_126_1e3,1,5000,500,1000,165,0.0,5.0,-1.0,-0.1667,-0.1111
iTst_127_1e3,1,5000,500,1000,137,0.0,1.0,-1.0,-0.037,-0.0244
iTst_128_1e3,1,5000,500,1000,145,2.0,1.0,0.3333,0.0244,0.0167
iTst_129_1e3,1,5000,500,1000,183,0.0,0.0,nan,0.0,0.0
iTst_130_1e3,1,5000,500,1000,149,0.0,1.0,-1.0,-0.0345,-0.0233
iTst_131_1e3,1,5000,500,1000,145,0.0,0.0,nan,0.0,0.0
iTst_13_1e3,1,5000,500,1000,152,0.0,1.0,-1.0,-0.0313,-0.0217
iTst_132_1e3,1,5000,500,1000,140,0.0,0.0,nan,0.0,0.0
iTst_133_1e3,1,5000,500,1000,153,0.0,6.0,-1.0,-0.3,-0.1714
iTst_134_1e3,1,5000,500,1000,162,2.0,3.0,-0.2,-0.025,-0.0154
iTst_135_1e3,1,5000,500,1000,148,1.0,17.0,-0.8889,-0.5714,-0.3333
iTst_136_1e3,1,5000,500,1000,139,2.0,0.0,1.0,0.0645,0.0435
iTst_137_1e3,1,5000,500,1000,152,0.0,1.0,-1.0,-0.0263,-0.0222
iTst_138_1e3,1,5000,500,1000,144,6.0,1.0,0.7143,0.1471,0.0893
iTst_139_1e3,1,5000,500,1000,140,2.0,1.0,0.3333,0.027,0.0167
iTst_140_1e3,1,5000,500,1000,154,0.0,8.0,-1.0,-0.32,-0.2051
iTst_141_1e3,1,5000,500,1000,141,0.0,0.0,nan,0.0,0.0
iTst_14_1e3,1,5000,500,1000,141,0.0,1.0,-1.0,-0.0357,-0.0238
iTst_142_1e3,1,5000,500,1000,176,0.0,27.0,-1.0,-0.8438,-0.403
iTst_143_1e3,1,5000,500,1000,131,5.0,2.0,0.4286,0.0938,0.0462
iTst_144_1e3,1,5000,500,1000,138,0.0,0.0,nan,0.0,0.0
iTst_145_1e3,1,5000,500,1000,175,1.0,14.0,-0.8667,-0.2453,-0.1444
iTst_146_1e3,1,5000,500,1000,161,3.0,0.0,1.0,0.1034,0.0652
iTst_147_1e3,1,5000,500,1000,167,0.0,0.0,nan,0.0,0.0
iTst_148_1e3,1,5000,500,1000,134,1.0,0.0,1.0,0.0303,0.0263
iTst_149_1e3,1,5000,500,1000,165,1.0,10.0,-0.8182,-0.3,-0.1875
iTst_150_1e3,1,5000,500,1000,170,0.0,1.0,-1.0,-0.0333,-0.0208
iTst_151_1e3,1,5000,500,1000,162,1.0,0.0,1.0,0.0227,0.0164
iTst_15_1e3,1,5000,500,1000,149,1.0,1.0,0.0,0.0,0.0
iTst_152_1e3,1,5000,500,1000,133,0.0,19.0,-1.0,-1.0556,-0.4524
iTst_153_1e3,1,5000,500,1000,141,2.0,0.0,1.0,0.0625,0.0444
iTst_154_1e3,1,5000,500,1000,134,0.0,0.0,nan,0.0,0.0
iTst_155_1e3,1,5000,500,1000,137,1.0,7.0,-0.75,-0.2727,-0.1622
iTst_156_1e3,1,5000,500,1000,163,0.0,19.0,-1.0,-0.5135,-0.2603
iTst_157_1e3,1,5000,500,1000,176,3.0,0.0,1.0,0.0714,0.06
iTst_158_1e3,1,5000,500,1000,135,0.0,0.0,nan,0.0,0.0
iTst_159_1e3,1,5000,500,1000,142,0.0,12.0,-1.0,-0.3429,-0.2264
iTst_160_1e3,1,5000,500,1000,134,0.0,0.0,nan,0.0,0.0
iTst_161_1e3,1,5000,500,1000,160,2.0,1.0,0.3333,0.0303,0.0238
iTst_16_1e3,1,5000,500,1000,149,0.0,21.0,-1.0,-0.5833,-0.35
iTst_162_1e3,1,5000,500,1000,148,0.0,12.0,-1.0,-0.3871,-0.2308
iTst_163_1e3,1,5000,500,1000,161,0.0,1.0,-1.0,-0.0233,-0.0147
iTst_164_1e3,1,5000,500,1000,146,2.0,1.0,0.3333,0.0256,0.0167
iTst_165_1e3,1,5000,500,1000,166,0.0,0.0,nan,0.0,0.0
iTst_166_1e3,1,5000,500,1000,131,0.0,0.0,nan,0.0,0.0
iTst_167_1e3,1,5000,500,1000,134,0.0,8.0,-1.0,-0.3478,-0.1702
iTst_168_1e3,1,5000,500,1000,142,1.0,0.0,1.0,0.0286,0.0233
iTst_169_1e3,1,5000,500,1000,166,1.0,0.0,1.0,0.02,0.0182
iTst_170_1e3,1,5000,500,1000,131,0.0,12.0,-1.0,-0.4,-0.2727
iTst_171_1e3,1,5000,500,1000,167,1.0,0.0,1.0,0.0263,0.0192
iTst_17_1e3,1,5000,500,1000,130,2.0,6.0,-0.5,-0.1053,-0.0784
iTst_172_1e3,1,5000,500,1000,158,0.0,4.0,-1.0,-0.1026,-0.0678
iTst_173_1e3,1,5000,500,1000,158,1.0,1.0,0.0,0.0,0.0
iTst_174_1e3,1,5000,500,1000,152,0.0,15.0,-1.0,-0.5172,-0.25
iTst_175_1e3,1,5000,500,1000,116,0.0,2.0,-1.0,-0.1,-0.0588
iTst_176_1e3,1,5000,500,1000,139,1.0,0.0,1.0,0.02,0.0147
iTst_177_1e3,1,5000,500,1000,146,0.0,3.0,-1.0,-0.0938,-0.06
iTst_178_1e3,1,5000,500,1000,136,1.0,9.0,-0.8,-0.3077,-0.186
iTst_179_1e3,1,5000,500,1000,159,3.0,0.0,1.0,0.0909,0.05
iTst_180_1e3,1,5000,500,1000,141,1.0,1.0,0.0,0.0,0.0
iTst_181_1e3,1,5000,500,1000,148,0.0,5.0,-1.0,-0.1316,-0.0781
iTst_18_1e3,1,5000,500,1000,124,0.0,0.0,nan,0.0,0.0
iTst_182_1e3,1,5000,500,1000,145,0.0,0.0,nan,0.0,0.0
iTst_183_1e3,1,5000,500,1000,155,2.0,6.0,-0.5,-0.0952,-0.0656
iTst_184_1e3,1,5000,500,1000,137,2.0,1.0,0.3333,0.0357,0.0238
iTst_185_1e3,1,5000,500,1000,150,0.0,16.0,-1.0,-0.5,-0.2857
iTst_186_1e3,1,5000,500,1000,126,0.0,17.0,-1.0,-0.5667,-0.34
iTst_187_1e3,1,5000,500,1000,157,0.0,0.0,nan,0.0,0.0
iTst_188_1e3,1,5000,500,1000,145,2.0,3.0,-0.2,-0.0294,-0.0213
iTst_189_1e3,1,5000,500,1000,146,0.0,0.0,nan,0.0,0.0
iTst_190_1e3,1,5000,500,1000,147,0.0,9.0,-1.0,-0.2727,-0.1731
iTst_191_1e3,1,5000,500,1000,144,2.0,1.0,0.3333,0.0256,0.0204
iTst_19_1e3,1,5000,500,1000,141,0.0,0.0,nan,0.0,0.0
iTst_192_1e3,1,5000,500,1000,137,2.0,0.0,1.0,0.0714,0.04
iTst_193_1e3,1,5000,500,1000,142,0.0,12.0,-1.0,-0.3077,-0.2143
iTst_194_1e3,1,5000,500,1000,153,3.0,2.0,0.2,0.0222,0.0161
iTst_195_1e3,1,5000,500,1000,163,0.0,1.0,-1.0,-0.0357,-0.0233
