#Assembly	Genome Center name	RefSeq Accession.version	GenBank Accession.version	NCBI name
ASM15162v1	DF091493.1	NW_004581268.1	DF091493.1	GPS_001612160.1
ASM15162v1	DF091494.1	NW_004581269.1	DF091494.1	GPS_001612161.1
ASM15162v1	DF091495.1	NW_004581270.1	DF091495.1	GPS_001612162.1
ASM15162v1	DF091496.1	NW_004581271.1	DF091496.1	GPS_001612163.1
ASM15162v1	DF091497.1	NW_004581272.1	DF091497.1	GPS_001612164.1
ASM15162v1	DF091498.1	NW_004581273.1	DF091498.1	GPS_001612165.1
ASM15162v1	DF091499.1	NW_004581274.1	DF091499.1	GPS_001612166.1
ASM15162v1	DF091500.1	NW_004581275.1	DF091500.1	GPS_001612167.1
ASM15162v1	DF091501.1	NW_004581276.1	DF091501.1	GPS_001612168.1
ASM15162v1	DF091502.1	NW_004581277.1	DF091502.1	GPS_001612169.1
ASM15162v1	DF091503.1	NW_004581278.1	DF091503.1	GPS_001612170.1
ASM15162v1	DF091504.1	NW_004581279.1	DF091504.1	GPS_001612171.1
ASM15162v1	DF091505.1	NW_004581280.1	DF091505.1	GPS_001612172.1
ASM15162v1	DF091506.1	NW_004581281.1	DF091506.1	GPS_001612173.1
ASM15162v1	DF091507.1	NW_004581282.1	DF091507.1	GPS_001612174.1
ASM15162v1	DF091508.1	NW_004581283.1	DF091508.1	GPS_001612175.1
ASM15162v1	DF091509.1	NW_004581284.1	DF091509.1	GPS_001612176.1
ASM15162v1	DF091510.1	NW_004581285.1	DF091510.1	GPS_001612177.1
ASM15162v1	DF091511.1	NW_004581286.1	DF091511.1	GPS_001612178.1
ASM15162v1	DF091512.1	NW_004581287.1	DF091512.1	GPS_001612179.1
ASM15162v1	DF091513.1	NW_004581288.1	DF091513.1	GPS_001612180.1
ASM15162v1	DF091514.1	NW_004581289.1	DF091514.1	GPS_001612181.1
ASM15162v1	DF091515.1	NW_004581290.1	DF091515.1	GPS_001612182.1
ASM15162v1	DF091516.1	NW_004581291.1	DF091516.1	GPS_001612183.1
ASM15162v1	DF091517.1	NW_004581292.1	DF091517.1	GPS_001612184.1
ASM15162v1	DF091518.1	NW_004581293.1	DF091518.1	GPS_001612185.1
ASM15162v1	DF091519.1	NW_004581294.1	DF091519.1	GPS_001612186.1
ASM15162v1	DF091520.1	NW_004581295.1	DF091520.1	GPS_001612187.1
ASM15162v1	DF091521.1	NW_004581296.1	DF091521.1	GPS_001612188.1
ASM15162v1	DF091522.1	NW_004581297.1	DF091522.1	GPS_001612189.1
ASM15162v1	DF091523.1	NW_004581298.1	DF091523.1	GPS_001612190.1
ASM15162v1	DF091524.1	NW_004581299.1	DF091524.1	GPS_001612191.1
ASM15162v1	DF091525.1	NW_004581300.1	DF091525.1	GPS_001612192.1
ASM15162v1	DF091526.1	NW_004581301.1	DF091526.1	GPS_001612193.1
ASM15162v1	DF091527.1	NW_004581302.1	DF091527.1	GPS_001612194.1
ASM15162v1	DF091528.1	NW_004581303.1	DF091528.1	GPS_001612195.1
ASM15162v1	DF091529.1	NW_004581304.1	DF091529.1	GPS_001612196.1
ASM15162v1	DF091530.1	NW_004581305.1	DF091530.1	GPS_001612197.1
ASM15162v1	DF091531.1	NW_004581306.1	DF091531.1	GPS_001612198.1
ASM15162v1	DF091532.1	NW_004581307.1	DF091532.1	GPS_001612199.1
ASM15162v1	DF091533.1	NW_004581308.1	DF091533.1	GPS_001612200.1
ASM15162v1	DF091534.1	NW_004581309.1	DF091534.1	GPS_001612201.1
ASM15162v1	DF091535.1	NW_004581310.1	DF091535.1	GPS_001612202.1
ASM15162v1	DF091536.1	NW_004581311.1	DF091536.1	GPS_001612203.1
ASM15162v1	DF091537.1	NW_004581312.1	DF091537.1	GPS_001612204.1
ASM15162v1	DF091538.1	NW_004581313.1	DF091538.1	GPS_001612205.1
ASM15162v1	DF091539.1	NW_004581314.1	DF091539.1	GPS_001612206.1
ASM15162v1	DF091540.1	NW_004581315.1	DF091540.1	GPS_001612207.1
ASM15162v1	DF091541.1	NW_004581316.1	DF091541.1	GPS_001612208.1
ASM15162v1	DF091542.1	NW_004581317.1	DF091542.1	GPS_001612209.1
ASM15162v1	DF091543.1	NW_004581318.1	DF091543.1	GPS_001612210.1
ASM15162v1	DF091544.1	NW_004581319.1	DF091544.1	GPS_001612211.1
ASM15162v1	DF091545.1	NW_004581320.1	DF091545.1	GPS_001612212.1
ASM15162v1	DF091546.1	NW_004581321.1	DF091546.1	GPS_001612213.1
ASM15162v1	DF091547.1	NW_004581322.1	DF091547.1	GPS_001612214.1
ASM15162v1	DF091548.1	NW_004581323.1	DF091548.1	GPS_001612215.1
ASM15162v1	DF091549.1	NW_004581324.1	DF091549.1	GPS_001612216.1
ASM15162v1	DF091550.1	NW_004581325.1	DF091550.1	GPS_001612217.1
ASM15162v1	DF091551.1	NW_004581326.1	DF091551.1	GPS_001612218.1
ASM15162v1	DF091552.1	NW_004581327.1	DF091552.1	GPS_001612219.1
ASM15162v1	DF091553.1	NW_004581328.1	DF091553.1	GPS_001612220.1
ASM15162v1	DF091554.1	NW_004581329.1	DF091554.1	GPS_001612221.1
ASM15162v1	DF091555.1	NW_004581330.1	DF091555.1	GPS_001612222.1
ASM15162v1	DF091556.1	NW_004581331.1	DF091556.1	GPS_001612223.1
ASM15162v1	DF091557.1	NW_004581332.1	DF091557.1	GPS_001612224.1
ASM15162v1	DF091558.1	NW_004581333.1	DF091558.1	GPS_001612225.1
ASM15162v1	DF091559.1	NW_004581334.1	DF091559.1	GPS_001612226.1
ASM15162v1	DF091560.1	NW_004581335.1	DF091560.1	GPS_001612227.1
ASM15162v1	DF091561.1	NW_004581336.1	DF091561.1	GPS_001612228.1
ASM15162v1	DF091562.1	NW_004581337.1	DF091562.1	GPS_001612229.1
ASM15162v1	DF091563.1	NW_004581338.1	DF091563.1	GPS_001612230.1
ASM15162v1	DF091564.1	NW_004581339.1	DF091564.1	GPS_001612231.1
ASM15162v1	DF091565.1	NW_004581340.1	DF091565.1	GPS_001612232.1
ASM15162v1	DF091566.1	NW_004581341.1	DF091566.1	GPS_001612233.1
ASM15162v1	DF091567.1	NW_004581342.1	DF091567.1	GPS_001612234.1
ASM15162v1	DF091568.1	NW_004581343.1	DF091568.1	GPS_001612235.1
ASM15162v1	DF091569.1	NW_004581344.1	DF091569.1	GPS_001612236.1
ASM15162v1	DF091570.1	NW_004581345.1	DF091570.1	GPS_001612237.1
ASM15162v1	DF091571.1	NW_004581346.1	DF091571.1	GPS_001612238.1
ASM15162v1	DF091572.1	NW_004581347.1	DF091572.1	GPS_001612239.1
ASM15162v1	DF091573.1	NW_004581348.1	DF091573.1	GPS_001612240.1
ASM15162v1	DF091574.1	NW_004581349.1	DF091574.1	GPS_001612241.1
ASM15162v1	DF091575.1	NW_004581350.1	DF091575.1	GPS_001612242.1
ASM15162v1	DF091576.1	NW_004581351.1	DF091576.1	GPS_001612243.1
ASM15162v1	DF091577.1	NW_004581352.1	DF091577.1	GPS_001612244.1
ASM15162v1	DF091578.1	NW_004581353.1	DF091578.1	GPS_001612245.1
ASM15162v1	DF091579.1	NW_004581354.1	DF091579.1	GPS_001612246.1
ASM15162v1	DF091580.1	NW_004581355.1	DF091580.1	GPS_001612247.1
ASM15162v1	DF091581.1	NW_004581356.1	DF091581.1	GPS_001612248.1
ASM15162v1	DF091582.1	NW_004581357.1	DF091582.1	GPS_001612249.1
ASM15162v1	DF091583.1	NW_004581358.1	DF091583.1	GPS_001612250.1
ASM15162v1	DF091584.1	NW_004581359.1	DF091584.1	GPS_001612251.1
ASM15162v1	DF091585.1	NW_004581360.1	DF091585.1	GPS_001612252.1
ASM15162v1	DF091586.1	NW_004581361.1	DF091586.1	GPS_001612253.1
ASM15162v1	DF091587.1	NW_004581362.1	DF091587.1	GPS_001612254.1
ASM15162v1	DF091588.1	NW_004581363.1	DF091588.1	GPS_001612255.1
ASM15162v1	DF091589.1	NW_004581364.1	DF091589.1	GPS_001612256.1
ASM15162v1	DF091590.1	NW_004581365.1	DF091590.1	GPS_001612257.1
ASM15162v1	DF091591.1	NW_004581366.1	DF091591.1	GPS_001612258.1
ASM15162v1	DF091592.1	NW_004581367.1	DF091592.1	GPS_001612259.1
ASM15162v1	DF091593.1	NW_004581368.1	DF091593.1	GPS_001612260.1
ASM15162v1	DF091594.1	NW_004581369.1	DF091594.1	GPS_001612261.1
ASM15162v1	DF091595.1	NW_004581370.1	DF091595.1	GPS_001612262.1
ASM15162v1	DF091596.1	NW_004581371.1	DF091596.1	GPS_001612263.1
ASM15162v1	DF091597.1	NW_004581372.1	DF091597.1	GPS_001612264.1
ASM15162v1	DF091598.1	NW_004581373.1	DF091598.1	GPS_001612265.1
ASM15162v1	DF091599.1	NW_004581374.1	DF091599.1	GPS_001612266.1
ASM15162v1	DF091600.1	NW_004581375.1	DF091600.1	GPS_001612267.1
ASM15162v1	DF091601.1	NW_004581376.1	DF091601.1	GPS_001612268.1
ASM15162v1	DF091602.1	NW_004581377.1	DF091602.1	GPS_001612269.1
ASM15162v1	DF091603.1	NW_004581378.1	DF091603.1	GPS_001612270.1
ASM15162v1	DF091604.1	NW_004581379.1	DF091604.1	GPS_001612271.1
ASM15162v1	DF091605.1	NW_004581380.1	DF091605.1	GPS_001612272.1
ASM15162v1	DF091606.1	NW_004581381.1	DF091606.1	GPS_001612273.1
ASM15162v1	DF091607.1	NW_004581382.1	DF091607.1	GPS_001612274.1
ASM15162v1	DF091608.1	NW_004581383.1	DF091608.1	GPS_001612275.1
ASM15162v1	DF091609.1	NW_004581384.1	DF091609.1	GPS_001612276.1
ASM15162v1	DF091610.1	NW_004581385.1	DF091610.1	GPS_001612277.1
ASM15162v1	DF091611.1	NW_004581386.1	DF091611.1	GPS_001612278.1
ASM15162v1	DF091612.1	NW_004581387.1	DF091612.1	GPS_001612279.1
ASM15162v1	DF091613.1	NW_004581388.1	DF091613.1	GPS_001612280.1
ASM15162v1	DF091614.1	NW_004581389.1	DF091614.1	GPS_001612281.1
ASM15162v1	DF091615.1	NW_004581390.1	DF091615.1	GPS_001612282.1
ASM15162v1	DF091616.1	NW_004581391.1	DF091616.1	GPS_001612283.1
ASM15162v1	DF091617.1	NW_004581392.1	DF091617.1	GPS_001612284.1
ASM15162v1	DF091618.1	NW_004581393.1	DF091618.1	GPS_001612285.1
ASM15162v1	DF091619.1	NW_004581394.1	DF091619.1	GPS_001612286.1
ASM15162v1	DF091620.1	NW_004581395.1	DF091620.1	GPS_001612287.1
ASM15162v1	DF091621.1	NW_004581396.1	DF091621.1	GPS_001612288.1
ASM15162v1	DF091622.1	NW_004581397.1	DF091622.1	GPS_001612289.1
ASM15162v1	DF091623.1	NW_004581398.1	DF091623.1	GPS_001612290.1
ASM15162v1	DF091624.1	NW_004581399.1	DF091624.1	GPS_001612291.1
ASM15162v1	DF091625.1	NW_004581400.1	DF091625.1	GPS_001612292.1
ASM15162v1	DF091626.1	NW_004581401.1	DF091626.1	GPS_001612293.1
ASM15162v1	DF091627.1	NW_004581402.1	DF091627.1	GPS_001612294.1
ASM15162v1	DF091628.1	NW_004581403.1	DF091628.1	GPS_001612295.1
ASM15162v1	DF091629.1	NW_004581404.1	DF091629.1	GPS_001612296.1
ASM15162v1	DF091630.1	NW_004581405.1	DF091630.1	GPS_001612297.1
ASM15162v1	DF091631.1	NW_004581406.1	DF091631.1	GPS_001612298.1
ASM15162v1	DF091632.1	NW_004581407.1	DF091632.1	GPS_001612299.1
ASM15162v1	DF091633.1	NW_004581408.1	DF091633.1	GPS_001612300.1
ASM15162v1	DF091634.1	NW_004581409.1	DF091634.1	GPS_001612301.1
ASM15162v1	DF091635.1	NW_004581410.1	DF091635.1	GPS_001612302.1
ASM15162v1	DF091636.1	NW_004581411.1	DF091636.1	GPS_001612303.1
ASM15162v1	DF091637.1	NW_004581412.1	DF091637.1	GPS_001612304.1
ASM15162v1	DF091638.1	NW_004581413.1	DF091638.1	GPS_001612305.1
ASM15162v1	DF091639.1	NW_004581414.1	DF091639.1	GPS_001612306.1
ASM15162v1	DF091640.1	NW_004581415.1	DF091640.1	GPS_001612307.1
ASM15162v1	DF091641.1	NW_004581416.1	DF091641.1	GPS_001612308.1
ASM15162v1	DF091642.1	NW_004581417.1	DF091642.1	GPS_001612309.1
ASM15162v1	DF091643.1	NW_004581418.1	DF091643.1	GPS_001612310.1
ASM15162v1	DF091644.1	NW_004581419.1	DF091644.1	GPS_001612311.1
ASM15162v1	DF091645.1	NW_004581420.1	DF091645.1	GPS_001612312.1
ASM15162v1	DF091646.1	NW_004581421.1	DF091646.1	GPS_001612313.1
ASM15162v1	DF091647.1	NW_004581422.1	DF091647.1	GPS_001612314.1
ASM15162v1	DF091648.1	NW_004581423.1	DF091648.1	GPS_001612315.1
ASM15162v1	DF091649.1	NW_004581424.1	DF091649.1	GPS_001612316.1
ASM15162v1	DF091650.1	NW_004581425.1	DF091650.1	GPS_001612317.1
ASM15162v1	DF091651.1	NW_004581426.1	DF091651.1	GPS_001612318.1
ASM15162v1	DF091652.1	NW_004581427.1	DF091652.1	GPS_001612319.1
ASM15162v1	DF091653.1	NW_004581428.1	DF091653.1	GPS_001612320.1
ASM15162v1	DF091654.1	NW_004581429.1	DF091654.1	GPS_001612321.1
ASM15162v1	DF091655.1	NW_004581430.1	DF091655.1	GPS_001612322.1
