scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
chr10_1005,1,5000,2308,4615,430,7.0,6.0,0.0769,0.0088,0.006
chr10_1024,1,5000,2284,4568,459,13.0,10.0,0.1304,0.0259,0.0157
chr10_1026,1,5000,2410,4820,365,21.0,12.0,0.2727,0.1233,0.0672
chr10_102,1,5000,1989,3977,443,7.0,6.0,0.0769,0.0077,0.0053
chr10_1034,1,5000,2370,4740,424,15.0,6.0,0.4286,0.0738,0.0495
chr10_1035,1,5000,1498,2995,334,21.0,4.0,0.68,0.1828,0.109
chr10_1047,1,5000,2201,4402,447,19.0,11.0,0.2667,0.0672,0.039
chr10_104,1,5000,1534,3068,245,3.0,2.0,0.2,0.0111,0.0087
chr10_1055,1,5000,2167,4333,401,13.0,7.0,0.3,0.0619,0.0357
chr10_105,1,5000,1573,3145,328,1.0,6.0,-0.7143,-0.061,-0.0403
chr10_1061,1,5000,2372,4744,538,25.0,13.0,0.3158,0.0863,0.055
chr10_1063,1,5000,2376,4752,530,13.0,2.0,0.7333,0.0769,0.0489
chr10_106,1,5000,2380,4759,529,16.0,6.0,0.4545,0.0606,0.0439
chr10_1070,1,5000,1874,3747,266,16.0,3.0,0.6842,0.1711,0.114
chr10_1074,1,5000,2416,4831,506,18.0,11.0,0.2414,0.0476,0.0306
chr10_1076,1,5000,2301,4601,482,23.0,12.0,0.3143,0.0675,0.0442
chr10_1077,1,5000,2255,4510,451,10.0,12.0,-0.0909,-0.0179,-0.0113
chr10_1079,1,5000,769,1538,203,4.0,1.0,0.6,0.0484,0.0361
chr10_107,1,5000,2313,4626,481,7.0,8.0,-0.0667,-0.0064,-0.0048
chr10_1085,1,5000,2382,4764,320,4.0,7.0,-0.2727,-0.0395,-0.0246
chr10_1086,1,5000,2454,4908,517,23.0,8.0,0.4839,0.1271,0.0777
chr10_108,1,5000,1230,2459,227,4.0,3.0,0.1429,0.013,0.0089
chr10_1092,1,5000,923,1846,288,10.0,8.0,0.1111,0.0235,0.015
chr10_1094,1,5000,1975,3950,458,9.0,11.0,-0.1,-0.0183,-0.0104
chr10_1097,1,5000,693,1385,172,2.0,1.0,0.3333,0.0238,0.0164
chr10_109,1,5000,2500,5000,613,15.0,13.0,0.0714,0.0101,0.007
chr10_1104,1,5000,2500,5000,503,17.0,12.0,0.1724,0.0296,0.0182
chr10_1105,1,5000,2185,4369,366,8.0,4.0,0.3333,0.0348,0.0219
chr10_1106,1,5000,2290,4579,596,16.0,12.0,0.1429,0.0242,0.0159
